n_cities,noise_factor,distance_type,triangle_violation_rate,instance_type,avg_edge,std_edge,cv_edge,skew_edge,kurtosis_edge,min_edge,max_edge,avg_nn,std_nn,cv_nn,skew_nn,mst_cost,avg_mst_edge,std_mst_edge,mst_nn_ratio,avg_centroid_dist,std_centroid_dist,cv_centroid_dist,bbox_area,bbox_ratio,source,label,best_algo,optimal,OGA_best_cost,OGA_avg_cost,OGA_std_cost,OGA_avg_time,SA_best_cost,SA_avg_cost,SA_std_cost,SA_avg_time,PSO_best_cost,PSO_avg_cost,PSO_std_cost,PSO_avg_time
10,0.0,1,0.2055555555555555,2,1162.4269116986843,942.441930209538,0.8107537090932653,0.9225405547394868,-0.6464913723421462,158.91418551065573,2913.196196543226,267.4600368549901,104.50418340779244,0.3907282173315929,0.409831103033594,2703.2495692059933,300.3610632451104,100.67857676633092,1.1230128686774927,325.74761801884523,133.0084802003202,0.4083175834385544,602982.4661321007,0.8493108771667497,generated,grid_10_3_manhattan_triangle_violation,OGA,,3916.4629312533298,3916.46293125333,4.547473508864641e-13,0.0171496868133544,3916.4629312533298,4043.320979571985,179.40437242842302,0.0144805113474527,3916.4629312533298,3916.46293125333,4.547473508864641e-13,0.590272585550944
10,0.1,1,0.0138888888888888,1,586.3019251832276,263.4060149022687,0.449266842881252,0.5100079445924988,-0.4928792922120082,258.920522857955,1276.3035116860976,267.2949327299413,8.326958165044774,0.0311526974342526,0.6726615493111897,2433.389818066948,270.37664645188306,8.548429269587254,1.0115292635384725,311.10938642430773,117.62631371717292,0.3780866757801638,375000.0,0.6666666666657778,generated,grid_10_3_manhattan_random_cost,OGA,,2764.818182207609,2913.62204164107,210.4404361442598,0.0192148685455322,2764.818182207609,3231.650911635537,380.5040946649798,0.014794111251831,2764.818182207609,2914.805372805862,212.11391912628775,0.6471804777781168
10,0.1,1,0.2055555555555555,2,1162.4269116986843,942.441930209538,0.8107537090932653,0.9225405547394868,-0.6464913723421462,158.91418551065573,2913.196196543226,267.4600368549901,104.50418340779244,0.3907282173315929,0.409831103033594,2703.2495692059933,300.3610632451104,100.67857676633092,1.1230128686774927,325.74761801884523,133.0084802003202,0.4083175834385544,602982.4661321007,0.8493108771667497,generated,grid_10_3_manhattan_triangle_violation,OGA,,3916.4629312533298,3916.46293125333,3.7129965718473893e-13,0.0192037423451741,3916.4629312533298,3916.46293125333,4.547473508864641e-13,0.0153810183207194,3916.4629312533298,3916.46293125333,4.547473508864641e-13,0.6636403401692709
10,0.2,1,0.0138888888888888,1,611.4927392553443,262.8153397850991,0.4297930668893092,0.5000604756685895,-0.47516515963376,267.84104571591,1302.607023372195,284.5898654598826,16.653916330089544,0.058519007003913,0.6726615493111882,2616.779636133894,290.753292903766,17.096858539174512,1.021657227441756,311.10938642430773,117.62631371717292,0.3780866757801638,375000.0,0.6666666666657778,generated,grid_10_3_manhattan_random_cost,SA,,3429.5595080047374,3458.9042191851872,21.526309741003026,0.0204279422760009,3029.636364415218,3463.301823271074,352.7639336241573,0.0166658560434977,3029.636364415218,3162.9440789450578,188.5255778570604,0.6593625545501709
10,0.2,1,0.2055555555555555,2,1162.4269116986843,942.441930209538,0.8107537090932653,0.9225405547394868,-0.6464913723421462,158.91418551065573,2913.196196543226,267.4600368549901,104.50418340779244,0.3907282173315929,0.409831103033594,2703.2495692059933,300.3610632451104,100.67857676633092,1.1230128686774927,325.74761801884523,133.0084802003202,0.4083175834385544,602982.4661321007,0.8493108771667497,generated,grid_10_3_manhattan_triangle_violation,OGA,,3916.4629312533298,3916.46293125333,3.7129965718473893e-13,0.0198268890380859,3916.4629312533298,3916.46293125333,4.547473508864641e-13,0.0151126384735107,3916.4629312533298,3916.46293125333,4.547473508864641e-13,0.6524237791697184
10,0.0,3,0.0,1,459.26666666666665,187.92757470188704,0.4091905386163892,0.5229848955404657,-0.7965073899868091,250.0,902.0,250.0,0.0,0.0,,2250.0,250.0,0.0,1.0,311.10938642430773,117.62631371717292,0.3780866757801638,375000.0,0.6666666666657778,generated,grid_10_3_ceil_euclidean_random_cost,OGA,,2500.0,2672.6666666666665,128.99956933605975,0.0202284653981526,2500.0,2500.0,0.0,0.0159908135732014,2500.0,2500.0,0.0,0.5912063121795654
10,0.0,3,0.2055555555555555,2,1162.4269116986843,942.441930209538,0.8107537090932653,0.9225405547394868,-0.6464913723421462,158.91418551065573,2913.196196543226,267.4600368549901,104.50418340779244,0.3907282173315929,0.409831103033594,2703.2495692059933,300.3610632451104,100.67857676633092,1.1230128686774927,325.74761801884523,133.0084802003202,0.4083175834385544,602982.4661321007,0.8493108771667497,generated,grid_10_3_ceil_euclidean_triangle_violation,OGA,,3916.4629312533298,3916.46293125333,4.547473508864641e-13,0.0177254676818847,3916.4629312533298,4282.852025795494,518.1524266071266,0.0145397981007893,3916.4629312533298,3916.46293125333,4.547473508864641e-13,0.5738670031229655
10,0.1,3,0.0,1,479.88522327769374,187.09773223050075,0.3898801695801195,0.5133641363622011,-0.7903871017754027,257.3014037982319,923.5292940996663,264.15581682097815,6.815574035523984,0.0258013399725472,0.6726615493111677,2400.1036582174097,266.67818424637886,6.996847038200402,1.0095487862268433,311.10938642430773,117.62631371717292,0.3780866757801638,375000.0,0.6666666666657778,generated,grid_10_3_ceil_euclidean_random_cost,SA,,2898.938331533085,2939.6358873367267,57.55503537294637,0.0174545447031656,2716.7523711558274,2716.752371155828,3.7129965718473893e-13,0.0140382448832194,2716.7523711558274,2716.752371155828,2.6254850544756925e-13,0.6078195571899414
10,0.1,3,0.2055555555555555,2,1162.4269116986843,942.441930209538,0.8107537090932653,0.9225405547394868,-0.6464913723421462,158.91418551065573,2913.196196543226,267.4600368549901,104.50418340779244,0.3907282173315929,0.409831103033594,2703.2495692059933,300.3610632451104,100.67857676633092,1.1230128686774927,325.74761801884523,133.0084802003202,0.4083175834385544,602982.4661321007,0.8493108771667497,generated,grid_10_3_ceil_euclidean_triangle_violation,OGA,,3916.4629312533298,3916.46293125333,4.547473508864641e-13,0.020003318786621,3916.4629312533298,4207.636399903051,411.7814683676533,0.0160287221272786,3916.4629312533298,3916.46293125333,2.6254850544756925e-13,0.648202101389567
10,0.2,3,0.0,1,500.5037798887208,186.59297905291515,0.3728103294132987,0.4982156391061183,-0.7848236587391666,264.60280759646383,945.0585881993328,278.31163364195623,13.631148071047935,0.0489780031566492,0.6726615493111823,2550.2073164348194,283.3563684927577,13.993694076400775,1.0181262090441088,311.10938642430773,117.62631371717292,0.3780866757801638,375000.0,0.6666666666657778,generated,grid_10_3_ceil_euclidean_random_cost,OGA,,2933.5047423116557,3033.0238275037777,140.74123999366273,0.0194782416025797,2933.504742311656,3037.7526894813327,73.71443036845534,0.0163822174072265,2933.5047423116557,2933.504742311656,3.7129965718473893e-13,0.6706029574076334
